Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_2755,,putative cyclopropane-fatty-acyl-phospholipid synthase,350,0,59,128,85.57457213,100,inf,5.54E-78,3.25E-74,4.78E-76,1,1,0,1,1
cfa,,Cyclopropane-fatty-acyl-phospholipid synthase,59,128,350,0,14.42542787,0,0,5.54E-78,3.25E-74,4.78E-76,1,0,1,1,1
group_2436,,Putative uncharacterized protein,59,128,350,0,14.42542787,0,0,5.54E-78,3.25E-74,4.78E-76,1,0,1,1,1
group_2439,,hypothetical protein,59,128,350,0,14.42542787,0,0,5.54E-78,3.25E-74,4.78E-76,1,0,1,1,1
group_2440,,AlgI,59,128,350,0,14.42542787,0,0,5.54E-78,3.25E-74,4.78E-76,1,0,1,1,1
group_3550,,hypothetical protein,59,128,350,0,14.42542787,0,0,5.54E-78,3.25E-74,4.78E-76,1,0,1,1,1
rclA,,putative pyridine nucleotide-disulfide oxidoreductase RclA,354,1,55,127,86.55256724,99.21875,817.4181818,1.27E-77,7.45E-74,1.08E-75,1,1,1,1,1
group_2096,,hypothetical protein,353,1,56,127,86.30806846,99.21875,800.5535714,4.14E-77,2.43E-73,3.47E-75,1,1,1,1,1
group_734,,hypothetical protein,348,0,61,128,85.08557457,100,inf,5.38E-77,3.15E-73,4.44E-75,1,1,0,1,1
group_251,,hypotehtical protein,344,0,65,128,84.10757946,100,inf,4.45E-75,2.61E-71,3.63E-73,1,1,0,1,1
group_1329,,aldehyde dehydrogenase,340,0,69,128,83.12958435,100,inf,3.14E-73,1.84E-69,2.45E-71,1,1,0,1,1
group_2869,,hypothetical protein,340,0,69,128,83.12958435,100,inf,3.14E-73,1.84E-69,2.45E-71,1,1,0,1,1
dmsB,,Anaerobic dimethyl sulfoxide reductase chain B,69,128,340,0,16.87041565,0,0,3.14E-73,1.84E-69,2.45E-71,1,0,1,1,1
group_1327,,Transmembrane transport protein,338,0,71,128,82.6405868,100,inf,2.49E-72,1.46E-68,1.89E-70,1,1,0,1,1
group_1922,,"transcriptional regulator, IclR family",338,0,71,128,82.6405868,100,inf,2.49E-72,1.46E-68,1.89E-70,1,1,0,1,1
group_160,,Putative uncharacterized protein,54,124,355,4,13.20293399,3.125,0.004906861,2.54E-72,1.49E-68,1.91E-70,1,1,1,1,1
group_2326,dapA,putative dihydrodipicolinate synthase,340,1,69,127,83.12958435,99.21875,625.7971014,6.96E-71,4.08E-67,4.91E-69,1,1,1,1,1
fucP,,L-fucose permease,340,1,69,127,83.12958435,99.21875,625.7971014,6.96E-71,4.08E-67,4.91E-69,1,1,1,1,1
group_3023,,Altronate hydrolase,340,1,69,127,83.12958435,99.21875,625.7971014,6.96E-71,4.08E-67,4.91E-69,1,1,1,1,1
group_3299,,Altronate hydrolase,340,1,69,127,83.12958435,99.21875,625.7971014,6.96E-71,4.08E-67,4.91E-69,1,1,1,1,1
group_3300,,Putative oxidoreductase,340,1,69,127,83.12958435,99.21875,625.7971014,6.96E-71,4.08E-67,4.91E-69,1,1,1,1,1
group_1110,,nitroreductase family protein,352,4,57,124,86.06356968,96.875,191.4385965,8.15E-71,4.77E-67,5.68E-69,1,1,1,1,1
