Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_1358,,putative transferase,162,0,247,128,39.60880196,100,inf,3.71E-24,2.17E-20,4.71E-23,1,1,0,1,1
group_2600,,hypothetical protein,160,0,249,128,39.1198044,100,inf,8.64E-24,5.06E-20,1.09E-22,1,1,0,1,1
group_2800,,capsule biosynthesis phosphatase,160,0,249,128,39.1198044,100,inf,8.64E-24,5.06E-20,1.09E-22,1,1,0,1,1
group_12,,Putative uncharacterized protein,180,117,229,11,44.00977995,8.59375,0.073899899,1.38E-23,8.08E-20,1.74E-22,1,1,1,1,1
group_3237,,hypothetical protein,159,0,250,128,38.87530562,100,inf,1.78E-23,1.04E-19,2.23E-22,1,1,0,1,1
group_438,,hypothetical protein,159,0,250,128,38.87530562,100,inf,1.78E-23,1.04E-19,2.23E-22,1,1,0,1,1
group_288,,hypothetical protein,159,0,250,128,38.87530562,100,inf,1.78E-23,1.04E-19,2.23E-22,1,1,0,1,1
group_1944,,hypothetical protein,157,0,252,128,38.38630807,100,inf,4.16E-23,2.44E-19,5.20E-22,1,1,0,1,1
group_1951,,hypothetical protein,157,0,252,128,38.38630807,100,inf,4.16E-23,2.44E-19,5.20E-22,1,1,0,1,1
group_1628,,hypothetical protein,174,2,235,126,42.54278729,98.4375,46.64680851,4.20E-23,2.46E-19,5.22E-22,1,1,1,1,1
group_2970,,cpp22,174,2,235,126,42.54278729,98.4375,46.64680851,4.20E-23,2.46E-19,5.22E-22,1,1,1,1,1
group_271,,putative sugar nucleotidyltransferase,156,0,253,128,38.14180929,100,inf,4.61E-23,2.70E-19,5.71E-22,1,1,0,1,1
group_2750,,hypothetical protein,156,0,253,128,38.14180929,100,inf,4.61E-23,2.70E-19,5.71E-22,1,1,0,1,1
group_2751,,hypothetical protein,155,0,254,128,37.89731051,100,inf,9.66E-23,5.66E-19,1.19E-21,1,1,0,1,1
group_1828,,Putative oxidoreductase subunit,307,34,102,94,75.06112469,73.4375,8.321222607,9.81E-23,5.75E-19,1.21E-21,1,1,1,1,1
group_3450,,hypothetical protein,154,0,255,128,37.65281174,100,inf,1.05E-22,6.18E-19,1.30E-21,1,1,0,1,1
group_863,,Putative uncharacterized protein,77,84,332,44,18.82640587,34.375,0.121485944,2.11E-22,1.24E-18,2.59E-21,1,1,1,1,1
group_321,,hypothetical protein,152,0,257,128,37.16381418,100,inf,2.40E-22,1.41E-18,2.94E-21,1,1,0,1,1
group_2088,,putative MATE family transport protein,409,96,0,32,100,25,inf,4.36E-22,2.56E-18,5.24E-21,1,1,0,1,1
ansA,,L-asparaginase,409,96,0,32,100,25,inf,4.36E-22,2.56E-18,5.24E-21,1,1,0,1,1
group_992,,Putative uncharacterized protein,409,96,0,32,100,25,inf,4.36E-22,2.56E-18,5.24E-21,1,1,0,1,1
group_3599,ansA,L-asparaginase,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_3941,,MATE efflux family protein,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_3568,,hypothetical protein,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_3582,,transposase,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_3583,,transposase A-OrfA,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_2497,maf7,motility accessory factor,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_3932,,Putative uncharacterized protein,0,32,409,96,0,75,0,4.36E-22,2.56E-18,5.24E-21,1,0,1,1,1
group_1418,,"baseplate assembly protein W, putative",151,0,258,128,36.9193154,100,inf,5.08E-22,2.98E-18,6.04E-21,1,1,0,1,1
group_1734,,Baseplate assembly protein V,151,0,258,128,36.9193154,100,inf,5.08E-22,2.98E-18,6.04E-21,1,1,0,1,1
group_2061,,"baseplate assembly protein J, putative",151,0,258,128,36.9193154,100,inf,5.08E-22,2.98E-18,6.04E-21,1,1,0,1,1
group_1065,,hypothetical protein,151,0,258,128,36.9193154,100,inf,5.08E-22,2.98E-18,6.04E-21,1,1,0,1,1
group_1067,,hypothetical protein,151,0,258,128,36.9193154,100,inf,5.08E-22,2.98E-18,6.04E-21,1,1,0,1,1
group_2559,,"lipoprotein, putative",150,0,259,128,36.67481663,100,inf,5.41E-22,3.17E-18,6.40E-21,1,1,0,1,1
group_2560,,hypothetical protein,150,0,259,128,36.67481663,100,inf,5.41E-22,3.17E-18,6.40E-21,1,1,0,1,1
group_803,,"phage tail protein, putative",150,0,259,128,36.67481663,100,inf,5.41E-22,3.17E-18,6.40E-21,1,1,0,1,1
group_437,,hypothetical protein,249,127,160,1,60.8801956,0.78125,0.012253937,6.04E-22,3.54E-18,7.12E-21,1,1,1,1,1
group_114,,Putative periplasmic protein,82,85,327,43,20.04889976,33.59375,0.126857348,9.71E-22,5.69E-18,1.14E-20,1,1,1,1,1
group_1066,,hypothetical protein,149,0,260,128,36.43031785,100,inf,1.15E-21,6.75E-18,1.35E-20,1,1,0,1,1
group_1733,,hypothetical protein,149,0,260,128,36.43031785,100,inf,1.15E-21,6.75E-18,1.35E-20,1,1,0,1,1
group_1192,,hypothetical protein,149,0,260,128,36.43031785,100,inf,1.15E-21,6.75E-18,1.35E-20,1,1,0,1,1
group_1299,,hypothetical protein,148,0,261,128,36.18581907,100,inf,1.21E-21,7.12E-18,1.42E-20,1,1,0,1,1
group_1141,,capsular polysaccharide biosynthesis protein,148,0,261,128,36.18581907,100,inf,1.21E-21,7.12E-18,1.42E-20,1,1,0,1,1
group_3451,,putative RelE/StbE family addiction module toxin,158,1,251,127,38.63080685,99.21875,79.94422311,1.39E-21,8.12E-18,1.61E-20,1,1,1,1,1
group_3452,,hypothetical protein,158,1,251,127,38.63080685,99.21875,79.94422311,1.39E-21,8.12E-18,1.61E-20,1,1,1,1,1
omp50,,50 kda outer membrane protein precursor,296,32,113,96,72.37163814,75,7.85840708,1.57E-21,9.20E-18,1.81E-20,1,1,1,1,1
group_1856,,hypothetical protein,296,32,113,96,72.37163814,75,7.85840708,1.57E-21,9.20E-18,1.81E-20,1,1,1,1,1
group_1619,,hypothetical protein,157,1,252,127,38.38630807,99.21875,79.12301587,1.60E-21,9.38E-18,1.85E-20,1,1,1,1,1
flgE,,flagellar hook protein FlgE,204,8,205,120,49.87775061,93.75,14.92682927,1.61E-21,9.46E-18,1.86E-20,1,1,1,1,1
group_1039,,membrane protein,147,0,262,128,35.94132029,100,inf,2.58E-21,1.51E-17,2.97E-20,1,1,0,1,1
group_1964,,hypothetical protein,146,0,263,128,35.69682152,100,inf,2.71E-21,1.59E-17,3.10E-20,1,1,0,1,1
group_255,,Putative uncharacterized protein,16,49,393,79,3.91198044,61.71875,0.065638469,2.75E-21,1.61E-17,3.14E-20,1,1,1,1,1
group_1207,,Gluconate 2-dehydrogenase flavoprotein,79,83,330,45,19.31540342,35.15625,0.129791895,3.25E-21,1.91E-17,3.72E-20,1,1,1,1,1
group_143,,Putative outer-membrane protein,59,74,350,54,14.42542787,42.1875,0.123011583,4.49E-21,2.63E-17,5.12E-20,1,1,1,1,1
group_1113,rdxA,nitroreductase family protein,57,73,352,55,13.93643032,42.96875,0.122003425,4.86E-21,2.85E-17,5.53E-20,1,1,1,1,1
group_2914,,radical SAM domain protein,264,128,145,0,64.54767726,0,0,5.75E-21,3.37E-17,6.52E-20,1,0,1,1,1
group_3291,,radical SAM domain protein,145,0,264,128,35.45232274,100,inf,5.75E-21,3.37E-17,6.52E-20,1,1,0,1,1
group_604,,hypothetical protein,144,0,265,128,35.20782396,100,inf,5.99E-21,3.51E-17,6.78E-20,1,1,0,1,1
rdxA,,Oxygen-insensitive NAD(P)H nitroreductase / Dihydropteridine reductase,351,55,58,73,85.8190709,57.03125,8.032288401,9.52E-21,5.58E-17,1.08E-19,1,1,1,1,1
group_3277,,"glycerol-3-phosphate transporter, authentic frameshift",10,43,399,85,2.444987775,66.40625,0.049542461,9.57E-21,5.61E-17,1.08E-19,1,1,1,1,1
group_657,,Putative uncharacterized protein,175,4,234,124,42.78728606,96.875,23.18376068,9.98E-21,5.85E-17,1.12E-19,1,1,1,1,1
tetO,,tetracycline resistance protein,1,32,408,96,0.244498778,75,0.007352941,1.17E-20,6.88E-17,1.32E-19,1,1,1,1,1
group_1649,,cpp26,251,20,158,108,61.36919315,84.375,8.578481013,1.25E-20,7.31E-17,1.39E-19,1,1,1,1,1
group_2398,,cpp12,251,20,158,108,61.36919315,84.375,8.578481013,1.25E-20,7.31E-17,1.39E-19,1,1,1,1,1
group_2967,,hypothetical protein,251,20,158,108,61.36919315,84.375,8.578481013,1.25E-20,7.31E-17,1.39E-19,1,1,1,1,1
group_2397,,hypothetical protein,251,20,158,108,61.36919315,84.375,8.578481013,1.25E-20,7.31E-17,1.39E-19,1,1,1,1,1
group_2607,,hypothetical protein,143,0,266,128,34.96332518,100,inf,1.27E-20,7.44E-17,1.41E-19,1,1,0,1,1
group_3244,,hypothetical protein,143,0,266,128,34.96332518,100,inf,1.27E-20,7.44E-17,1.41E-19,1,1,0,1,1
group_3460,,hypothetical protein,143,0,266,128,34.96332518,100,inf,1.27E-20,7.44E-17,1.41E-19,1,1,0,1,1
group_2608,,hypothetical protein,142,0,267,128,34.71882641,100,inf,1.32E-20,7.72E-17,1.45E-19,1,1,0,1,1
group_3243,,hypothetical protein,142,0,267,128,34.71882641,100,inf,1.32E-20,7.72E-17,1.45E-19,1,1,0,1,1
group_158,,hypothetical protein (617 family),140,0,269,128,34.22982885,100,inf,2.88E-20,1.69E-16,3.15E-19,1,1,0,1,1
group_2611,,hypothetical protein,140,0,269,128,34.22982885,100,inf,2.88E-20,1.69E-16,3.15E-19,1,1,0,1,1
group_1648,,hypothetical protein,140,0,269,128,34.22982885,100,inf,2.88E-20,1.69E-16,3.15E-19,1,1,0,1,1
group_2965,,hypothetical protein,140,0,269,128,34.22982885,100,inf,2.88E-20,1.69E-16,3.15E-19,1,1,0,1,1
flgE2,,flagellar hook subunit protein,11,43,398,85,2.689486553,66.40625,0.054633633,3.89E-20,2.28E-16,4.26E-19,1,1,1,1,1
group_1646,,hypothetical protein,149,1,260,127,36.43031785,99.21875,72.78076923,3.93E-20,2.31E-16,4.29E-19,1,1,1,1,1
group_1256,,hypothetical protein,27,55,382,73,6.601466993,57.03125,0.09381247,4.21E-20,2.47E-16,4.59E-19,1,1,1,1,1
group_1258,,DNA-binding protein Roi,164,3,245,125,40.09779951,97.65625,27.89115646,4.98E-20,2.92E-16,5.42E-19,1,1,1,1,1
group_2558,,hypothetical protein,137,0,272,128,33.49633252,100,inf,1.30E-19,7.62E-16,1.41E-18,1,1,0,1,1
group_844,gmhA-2,Phosphoheptose isomerase,137,0,272,128,33.49633252,100,inf,1.30E-19,7.62E-16,1.41E-18,1,1,0,1,1
group_372,recD2,ATP-dependent RecD-like DNA helicase,136,0,273,128,33.25183374,100,inf,1.35E-19,7.89E-16,1.46E-18,1,1,0,1,1
group_421,,Capsular polysaccharide biosynthesis heptosyltransferase HddD,135,0,274,128,33.00733496,100,inf,2.78E-19,1.63E-15,2.99E-18,1,1,0,1,1
group_2302,,"serine protease, subtilase family",135,0,274,128,33.00733496,100,inf,2.78E-19,1.63E-15,2.99E-18,1,1,0,1,1
group_1559,,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,275,128,134,0,67.23716381,0,0,2.88E-19,1.69E-15,3.07E-18,1,0,1,1,1
group_2913,,Xanthine/uracil permease family protein,275,128,134,0,67.23716381,0,0,2.88E-19,1.69E-15,3.07E-18,1,0,1,1,1
group_1560,,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,134,0,275,128,32.76283619,100,inf,2.88E-19,1.69E-15,3.07E-18,1,1,0,1,1
group_3292,,xanthine/uracil permease family protein,134,0,275,128,32.76283619,100,inf,2.88E-19,1.69E-15,3.07E-18,1,1,0,1,1
group_2107,,hypothetical protein,134,0,275,128,32.76283619,100,inf,2.88E-19,1.69E-15,3.07E-18,1,1,0,1,1
group_3250,,hypothetical protein,134,0,275,128,32.76283619,100,inf,2.88E-19,1.69E-15,3.07E-18,1,1,0,1,1
group_966,,putative sugar-phosphate nucleotide transferase,143,1,266,127,34.96332518,99.21875,68.27443609,4.05E-19,2.38E-15,4.31E-18,1,1,1,1,1
group_2391,,hypothetical protein,133,0,276,128,32.51833741,100,inf,5.90E-19,3.46E-15,6.24E-18,1,1,0,1,1
group_2959,,hypothetical protein,133,0,276,128,32.51833741,100,inf,5.90E-19,3.46E-15,6.24E-18,1,1,0,1,1
group_3461,,hypothetical protein,133,0,276,128,32.51833741,100,inf,5.90E-19,3.46E-15,6.24E-18,1,1,0,1,1
group_3488,,hypothetical protein,132,0,277,128,32.27383863,100,inf,6.14E-19,3.60E-15,6.45E-18,1,1,0,1,1
group_3489,,hypothetical protein,132,0,277,128,32.27383863,100,inf,6.14E-19,3.60E-15,6.45E-18,1,1,0,1,1
group_2394,,hypothetical protein,132,0,277,128,32.27383863,100,inf,6.14E-19,3.60E-15,6.45E-18,1,1,0,1,1
group_3413,,hypothetical protein,132,0,277,128,32.27383863,100,inf,6.14E-19,3.60E-15,6.45E-18,1,1,0,1,1
secE,,Preprotein translocase subunit SecE,355,60,54,68,86.79706601,53.125,7.450617284,6.73E-19,3.95E-15,7.06E-18,1,1,1,1,1
group_984,,"Non-heme iron protein, hemerythrin family",296,36,113,92,72.37163814,71.875,6.694198623,6.96E-19,4.08E-15,7.29E-18,1,1,1,1,1
group_3017,,hypothetical protein,11,41,398,87,2.689486553,67.96875,0.058646893,7.74E-19,4.54E-15,8.08E-18,1,1,1,1,1
ctsF,,general secretory pathway protein F,9,39,400,89,2.200488998,69.53125,0.051346154,9.63E-19,5.65E-15,1.00E-17,1,1,1,1,1
group_1983,,hypothetical protein,131,0,278,128,32.02933985,100,inf,1.24E-18,7.28E-15,1.29E-17,1,1,0,1,1
group_82,,hypothetical protein,131,0,278,128,32.02933985,100,inf,1.24E-18,7.28E-15,1.29E-17,1,1,0,1,1
group_948,,hypothetical protein,131,0,278,128,32.02933985,100,inf,1.24E-18,7.28E-15,1.29E-17,1,1,0,1,1
group_1776,,hypothetical protein,163,4,246,124,39.85330073,96.875,20.54065041,1.26E-18,7.41E-15,1.31E-17,1,1,1,1,1
group_1489,,Putative uncharacterized protein,279,128,130,0,68.21515892,0,0,1.30E-18,7.62E-15,1.34E-17,1,0,1,1,1
group_223,,Putative uncharacterized protein,1,29,408,99,0.244498778,77.34375,0.00836714,1.47E-18,8.62E-15,1.52E-17,1,1,1,1,1
group_1748,,hypothetical protein,140,1,269,127,34.22982885,99.21875,66.09665428,1.71E-18,1.00E-14,1.76E-17,1,1,1,1,1
group_487,,methyl-accepting chemotaxis protein,139,1,270,127,33.98533007,99.21875,65.38148148,1.86E-18,1.09E-14,1.91E-17,1,1,1,1,1
group_2380,,hypothetical protein,139,1,270,127,33.98533007,99.21875,65.38148148,1.86E-18,1.09E-14,1.91E-17,1,1,1,1,1
group_3415,,hypothetical protein,128,0,281,128,31.29584352,100,inf,2.74E-18,1.60E-14,2.80E-17,1,1,0,1,1
group_3416,,hypothetical protein,128,0,281,128,31.29584352,100,inf,2.74E-18,1.60E-14,2.80E-17,1,1,0,1,1
cysC_1,,Adenylyl-sulfate kinase,12,41,397,87,2.93398533,67.96875,0.064139583,2.82E-18,1.65E-14,2.88E-17,1,1,1,1,1
group_1053,,Putative transmembrane transport protein,5,34,404,94,1.222493888,73.4375,0.034216657,3.29E-18,1.93E-14,3.36E-17,1,1,1,1,1
group_3018,,hypothetical protein,11,40,398,88,2.689486553,68.75,0.06080402,3.38E-18,1.98E-14,3.43E-17,1,1,1,1,1
pphA,,Phosphonopyruvate hydrolase,11,40,398,88,2.689486553,68.75,0.06080402,3.38E-18,1.98E-14,3.43E-17,1,1,1,1,1
group_3418,,hypothetical protein,127,0,282,128,31.05134474,100,inf,5.40E-18,3.17E-14,5.48E-17,1,1,0,1,1
group_1629,,hypothetical protein,126,0,283,128,30.80684597,100,inf,5.73E-18,3.36E-14,5.80E-17,1,1,0,1,1
group_3242,,hypothetical protein,151,3,258,125,36.9193154,97.65625,24.38630491,1.02E-17,5.99E-14,1.03E-16,1,1,1,1,1
group_1255,,hypothetical protein,125,0,284,128,30.56234719,100,inf,1.12E-17,6.54E-14,1.13E-16,1,1,0,1,1
group_2369,,putative periplasmic protein,285,128,124,0,69.68215159,0,0,1.19E-17,6.99E-14,1.20E-16,1,0,1,1,1
group_3411,,putative periplasmic protein,124,0,285,128,30.31784841,100,inf,1.19E-17,6.99E-14,1.20E-16,1,1,0,1,1
group_986,,"McrBC restriction endonuclease system, McrB subunit, putative",235,20,174,108,57.45721271,84.375,7.293103448,1.20E-17,7.06E-14,1.21E-16,1,1,1,1,1
group_2953,,hypothetical protein,133,1,276,127,32.51833741,99.21875,61.19927536,1.74E-17,1.02E-13,1.74E-16,1,1,1,1,1
group_2960,,hypothetical protein,133,1,276,127,32.51833741,99.21875,61.19927536,1.74E-17,1.02E-13,1.74E-16,1,1,1,1,1
group_148,,Putative outer-membrane protein,2,29,407,99,0.488997555,77.34375,0.016775396,1.85E-17,1.08E-13,1.85E-16,1,1,1,1,1
wlaN,,"beta-1,3 galactosyltransferase",123,0,286,128,30.07334963,100,inf,2.29E-17,1.34E-13,2.27E-16,1,1,0,1,1
group_3373,,hypothetical protein,123,0,286,128,30.07334963,100,inf,2.29E-17,1.34E-13,2.27E-16,1,1,0,1,1
group_2610,,hypothetical protein,123,0,286,128,30.07334963,100,inf,2.29E-17,1.34E-13,2.27E-16,1,1,0,1,1
group_2106,,hypothetical protein,155,4,254,124,37.89731051,96.875,18.91732283,2.76E-17,1.62E-13,2.74E-16,1,1,1,1,1
group_2399,,hypothetical protein,132,1,277,127,32.27383863,99.21875,60.5198556,3.31E-17,1.94E-13,3.28E-16,1,1,1,1,1
group_3474,,hypothetical protein,121,0,288,128,29.58435208,100,inf,4.67E-17,2.74E-13,4.62E-16,1,1,0,1,1
group_1978,,hypothetical protein,120,0,289,128,29.3398533,100,inf,5.10E-17,2.99E-13,5.03E-16,1,1,0,1,1
wcbK,,GDP-D-mannose dehydratase,206,14,203,114,50.36674817,89.0625,8.263194933,5.60E-17,3.28E-13,5.52E-16,1,1,1,1,1
group_2105,,hypothetical protein,153,4,256,124,37.40831296,96.875,18.52734375,5.85E-17,3.43E-13,5.76E-16,1,1,1,1,1
group_260,,putative integral membrane protein,273,32,136,96,66.74816626,75,6.022058824,8.97E-17,5.26E-13,8.81E-16,1,1,1,1,1
group_3414,,hypothetical protein,128,1,281,127,31.29584352,99.21875,57.85053381,1.40E-16,8.21E-13,1.37E-15,1,1,1,1,1
group_1775,,"phage repressor protein, putative",39,56,370,72,9.535452323,56.25,0.135521236,1.79E-16,1.05E-12,1.76E-15,1,1,1,1,1
group_461,,putative periplasmic protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
yihN,,Inner membrane protein YihN,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3557,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_123,,Putative periplasmic protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3573,,"McrBC restriction endonuclease system, McrB subunit, putative",0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_2492,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_2493,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_2494,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3111,,"capsular polysaccharide biosynthesis protein, putative",0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3572,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3943,,putative sugar transferase,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3944,,phosphoheptose isomerase,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
iolG,,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
kdsB_2,,"8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase",0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3947,,D-3-phosphoglycerate dehydrogenase,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3948,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3949,,CysQ protein-like protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3950,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3951,,"capsular polysaccharide biosynthesis protein, putative",0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3952,,hypothetical protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3953,,haloacid dehalogenase-like hydrolase domain/phosphoribulokinase domain protein,0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_3954,,"capsular polysaccharide biosynthesis protein, putative",0,24,409,104,0,81.25,0,1.91E-16,1.12E-12,1.80E-15,1,0,1,1,1
group_1056,fcl,GDP-fucose synthetase,116,0,293,128,28.36185819,100,inf,2.14E-16,1.25E-12,2.01E-15,1,1,0,1,1
glpQ-2,,Glycerophosphoryl diester phosphodiesterase,375,75,34,53,91.68704156,41.40625,7.794117647,2.25E-16,1.32E-12,2.12E-15,1,1,1,1,1
group_221,,Putative uncharacterized protein,115,88,294,40,28.11735941,31.25,0.177798392,3.29E-16,1.93E-12,3.09E-15,1,1,1,1,1
group_341,,Putative periplasmic protein,2,27,407,101,0.488997555,78.90625,0.018382018,4.13E-16,2.42E-12,3.87E-15,1,1,1,1,1
flaA,,flagellin,121,90,288,38,29.58435208,29.6875,0.177391975,4.56E-16,2.68E-12,4.27E-15,1,1,1,1,1
group_1958,,hypothetical protein,123,1,286,127,30.07334963,99.21875,54.61888112,6.48E-16,3.80E-12,6.06E-15,1,1,1,1,1
fspA1,,FspA1,296,128,113,0,72.37163814,0,0,7.71E-16,4.52E-12,7.20E-15,1,0,1,1,1
group_3109,,galactosyltransferase,0,23,409,105,0,82.03125,0,9.34E-16,5.47E-12,8.70E-15,1,0,1,1,1
group_1962,,hypothetical protein,122,1,287,127,29.82885086,99.21875,53.98606272,1.16E-15,6.82E-12,1.08E-14,1,1,1,1,1
group_1645,,hypothetical protein,111,0,298,128,27.1393643,100,inf,1.54E-15,9.01E-12,1.43E-14,1,1,0,1,1
group_4,,hypothetical protein,112,0,297,128,27.38386308,100,inf,1.62E-15,9.48E-12,1.49E-14,1,1,0,1,1
group_1478,,"Beta-1,4-galactosyltransferase",112,0,297,128,27.38386308,100,inf,1.62E-15,9.48E-12,1.49E-14,1,1,0,1,1
group_2596,,hypothetical protein,112,0,297,128,27.38386308,100,inf,1.62E-15,9.48E-12,1.49E-14,1,1,0,1,1
cdtB,,cytolethal distending toxin subunit CdtB,297,128,112,0,72.61613692,0,0,1.62E-15,9.48E-12,1.49E-14,1,0,1,1,1
group_1169,,Putative uncharacterized protein,109,0,300,128,26.65036675,100,inf,3.05E-15,1.79E-11,2.80E-14,1,1,0,1,1
group_799,,"phage repressor protein, putative",109,0,300,128,26.65036675,100,inf,3.05E-15,1.79E-11,2.80E-14,1,1,0,1,1
mboIR,,Type-2 restriction enzyme MboI,109,0,300,128,26.65036675,100,inf,3.05E-15,1.79E-11,2.80E-14,1,1,0,1,1
dpnA,,Modification methylase DpnIIB,109,0,300,128,26.65036675,100,inf,3.05E-15,1.79E-11,2.80E-14,1,1,0,1,1
group_1076,,putative ATP/GTP binding protein,117,87,292,41,28.60635697,32.03125,0.188828531,4.45E-15,2.61E-11,4.08E-14,1,1,1,1,1
group_4069,,hypothetical protein,107,0,302,128,26.16136919,100,inf,6.04E-15,3.54E-11,5.51E-14,1,1,0,1,1
group_1017,,hypothetical protein,107,0,302,128,26.16136919,100,inf,6.04E-15,3.54E-11,5.51E-14,1,1,0,1,1
group_3238,,death-on-curing family protein,108,0,301,128,26.40586797,100,inf,6.11E-15,3.58E-11,5.55E-14,1,1,0,1,1
group_3239,,hypothetical protein,108,0,301,128,26.40586797,100,inf,6.11E-15,3.58E-11,5.55E-14,1,1,0,1,1
group_2966,,hypothetical protein,108,0,301,128,26.40586797,100,inf,6.11E-15,3.58E-11,5.55E-14,1,1,0,1,1
group_519,,hypothetical protein,116,1,293,127,28.36185819,99.21875,50.27986348,9.21E-15,5.40E-11,8.36E-14,1,1,1,1,1
group_3480,,hypothetical protein,106,0,303,128,25.91687042,100,inf,1.18E-14,6.92E-11,1.07E-13,1,1,0,1,1
group_1188,,type I site-specific deoxyribonuclease chain R,105,0,304,128,25.67237164,100,inf,1.19E-14,6.98E-11,1.07E-13,1,1,0,1,1
group_1106,,Putative periplasmic ATP/GTP-binding protein,105,0,304,128,25.67237164,100,inf,1.19E-14,6.98E-11,1.07E-13,1,1,0,1,1
group_2502,,hypothetical protein,105,0,304,128,25.67237164,100,inf,1.19E-14,6.98E-11,1.07E-13,1,1,0,1,1
group_3478,,hypothetical protein,105,0,304,128,25.67237164,100,inf,1.19E-14,6.98E-11,1.07E-13,1,1,0,1,1
group_108,,hypothetical protein,3,26,406,102,0.733496333,79.6875,0.028988253,1.50E-14,8.77E-11,1.35E-13,1,1,1,1,1
group_2354,,Putative uncharacterized protein,113,84,296,44,27.62836186,34.375,0.199967825,2.05E-14,1.20E-10,1.84E-13,1,1,1,1,1
group_576,dam,DNA adenine methylase,104,0,305,128,25.42787286,100,inf,2.28E-14,1.33E-10,2.04E-13,1,1,0,1,1
group_2237,,putative type III restriction enzyme R protein,282,39,127,89,68.94865526,69.53125,5.067231981,2.29E-14,1.35E-10,2.05E-13,1,1,1,1,1
group_2172,,putative two-domain glucosyltransferase,103,0,306,128,25.18337408,100,inf,2.34E-14,1.37E-10,2.09E-13,1,1,0,1,1
group_1672,,UDP-N-acetylglucosamine 2-epimerase,286,41,123,87,69.92665037,67.96875,4.933967876,4.14E-14,2.43E-10,3.69E-13,1,1,1,1,1
group_2688,,sialic acid synthase,286,41,123,87,69.92665037,67.96875,4.933967876,4.14E-14,2.43E-10,3.69E-13,1,1,1,1,1
maf-5,,Motility accessory factor,297,45,112,83,72.61613692,64.84375,4.891071429,4.38E-14,2.57E-10,3.90E-13,1,1,1,1,1
group_1419,,hypothetical protein,101,0,308,128,24.69437653,100,inf,4.59E-14,2.69E-10,4.08E-13,1,1,0,1,1
group_435,,hypothetical protein,111,1,298,127,27.1393643,99.21875,47.30536913,6.88E-14,4.03E-10,6.10E-13,1,1,1,1,1
